gene_symbol,evidence_strength,biological_coherence,translational_relevance,leakage_gate,heterogeneity_gate,positive_score,audit_score,audit_class,rank,audit_score_median,audit_score_lo95,audit_score_hi95,uncertainty_width,confidence_class,anchor_secondary,anchor_primary
LGALS3BP,1,0.860285382796966,1,1,1,0.951099883978938,1,high_confidence,1,1,1,1,0,stable_high,FALSE,FALSE
LCN2,1,0.868663877559159,0.7,1,1,0.879032357145706,0.924227173142176,high_confidence,2,0.836641107870898,0.781002207270121,0.907614895178049,0.126612687907927,stable_high,FALSE,FALSE
GGH,1,0.768905391247776,0.7,1,1,0.844116886936721,0.887516549161323,high_confidence,3,0.832679923261854,0.571328508604831,0.918560516335921,0.347232007731091,stable_high,FALSE,FALSE
SPARC,1,0.546749442096763,0.7,1,1,0.766362304733867,0.805764271075064,high_confidence,4,0.792269159874697,0.531242629221617,0.865774352492855,0.334531723271238,stable_high,FALSE,FALSE
VCAN,1,0.809036712889242,0.3,1,1,0.758162849511235,0.79714324676337,high_confidence,5,0.803460324717725,0.547625708225047,0.895506275167578,0.34788056694253,stable_high,FALSE,FALSE
PPIF,1,0.98383064755158,0,1,1,0.744340726643053,0.782610469395806,high_confidence,6,0.849947086834376,0.786791220924671,0.907242774718397,0.120451553793726,stable_high,FALSE,FALSE
KLK7,0.75,0.998988440763263,0.3,1,1,0.724645954267142,0.761903104472662,high_confidence,7,0.761425291829035,0.53471593982245,0.815797974584816,0.281082034762366,stable_high,FALSE,FALSE
CD55,0.75,0.995600222955456,0.3,1,1,0.72346007803441,0.760656257266908,high_confidence,8,0.760286290931604,0.518803525425617,0.811808153271619,0.293004627846001,stable_high,FALSE,FALSE
DSG3,0.75,0.992709970902873,0.3,1,1,0.722448489816006,0.759592658968303,high_confidence,9,0.762166231760673,0.700728523503759,0.812163445783377,0.111434922279618,stable_high,FALSE,FALSE
KLK10,0.75,0.936795350317638,0.3,1,1,0.702878372611174,0.739016358272144,high_confidence,10,0.743330931007073,0.688588873938066,0.799950156831361,0.111361282893295,stable_high,FALSE,FALSE
CST1,0.75,0.936274923740059,0.3,1,1,0.70269622330902,0.738824843894715,high_confidence,11,0.738889004628224,0.680748188778892,0.801365465439522,0.120617276660629,stable_high,FALSE,FALSE
SLPI,0.75,0.935542782010279,0.3,1,1,0.702439973703598,0.738555419400254,high_confidence,12,0.742022285326321,0.678979742221438,0.795385568780826,0.116405826559388,stable_high,FALSE,FALSE
PLAU,0.75,0.934338923469668,0.3,1,1,0.702018623214384,0.738112405478886,high_confidence,13,0.741556312700185,0.67688225866279,0.795060667087305,0.118178408424515,stable_high,FALSE,FALSE
ITGB6,0.75,0.934236212737263,0.3,1,1,0.701982674458042,0.73807460844311,high_confidence,14,0.73835639941337,0.517153116458493,0.79872059368545,0.281567477226957,stable_high,FALSE,FALSE
MFAP2,0.75,0.933630653775552,0.3,1,1,0.701770728821443,0.737851765774144,high_confidence,15,0.737579137603111,0.680633709902204,0.801042199135858,0.120408489233654,stable_high,FALSE,FALSE
MUC4,0.75,0.93351300172272,0.3,1,1,0.701729550602952,0.737808470407186,high_confidence,16,0.739807642415945,0.677705711769943,0.800906664120489,0.123200952350546,stable_high,FALSE,FALSE
LIPH,0.75,0.933271847644447,0.3,1,1,0.701645146675556,0.737719726912609,high_confidence,17,0.740953144242435,0.679139682764275,0.799092763136991,0.119953080372716,stable_high,FALSE,FALSE
PNLIP,0.75,0.913754763778474,0.3,1,1,0.694814167322466,0.730537537672387,high_confidence,18,0.729410389997976,0.657491926025219,0.793034360396499,0.13554243437128,stable_high,FALSE,FALSE
REG1A,0.75,0.89102461994198,0.3,1,1,0.686858616979693,0.722172958434409,high_confidence,19,0.710017041143427,0.474015739620203,0.7706187686526,0.296603029032397,high_uncertain,FALSE,FALSE
MSLN,0.75,0.873710618863387,0.3,1,1,0.680798716602185,0.715801492640348,high_confidence,20,0.654555187569152,0.464716326015593,0.77782280360202,0.313106477586426,high_uncertain,TRUE,FALSE
MUC5B,0.75,0.871598274426202,0.3,1,1,0.680059396049171,0.715024160453194,high_confidence,21,0.547385976721468,0.466917986010001,0.774098550507629,0.307180564497627,high_uncertain,FALSE,FALSE
THBS2,0.75,0.864566779814807,0.3,1,1,0.677598372935182,0.712436605607017,high_confidence,22,0.71390058585331,0.656325899383806,0.779147191499859,0.122821292116053,stable_high,TRUE,TRUE
MUC5AC,0.75,0.861483508271195,0.3,1,1,0.676519227894918,0.711301977101177,high_confidence,23,0.708927839937338,0.489113397008108,0.779705461684115,0.290592064676007,high_uncertain,FALSE,FALSE
IGFBP7,1,0.774412088224653,0,1,1,0.671044230878629,0.705545487053691,high_confidence,24,0.737410640388237,0.683701564007352,0.789547651052166,0.105846087044814,stable_high,FALSE,FALSE
CEACAM1,0.75,0.837871808934402,0.3,1,1,0.668255133127041,0.70261298984854,high_confidence,25,0.671903532117991,0.447777148434334,0.740766146194787,0.292988997760453,high_uncertain,TRUE,FALSE
FN1,1,0.868976796207118,1,1,0.7,0.954141878672491,0.702238877662963,supported_uncertain,26,0.689147423311868,0.288490012095235,0.761044807590327,0.472554795495092,high_uncertain,FALSE,FALSE
TGFBI,1,0.867278294804211,1,1,0.7,0.953547403181474,0.701801349648585,supported_uncertain,27,0.692930258190394,0.290590773557857,0.772223799118946,0.481633025561089,high_uncertain,FALSE,FALSE
SDC1,0.75,0.81161658314987,0.3,1,1,0.659065804102455,0.692951198085783,high_confidence,28,0.69674124965175,0.645808362299754,0.756566758561887,0.110758396262133,stable_high,FALSE,FALSE
VSIG2,0.75,0.809530460814977,0.3,1,1,0.658335661285242,0.692183515501113,high_confidence,29,0.694609297448755,0.642765247086653,0.76147496248063,0.118709715393976,stable_high,FALSE,FALSE
MMP1,0.75,0.796539921527301,0.3,1,1,0.653788972534555,0.687403062020596,high_confidence,30,0.683882628819966,0.639370707624586,0.760254944192392,0.120884236567806,stable_high,FALSE,FALSE
DUOX2,0.75,0.792250598564576,0.3,1,1,0.652287709497602,0.685824612625067,high_confidence,31,0.675021114714825,0.456256278332906,0.745356073457365,0.289099795124459,high_uncertain,FALSE,FALSE
CDA,0.75,0.998469420281626,0,1,1,0.649464297098569,0.682856036509569,high_confidence,32,0.723617406977168,0.666062124295332,0.772117994115727,0.106055869820395,stable_high,FALSE,FALSE
SLC16A3,0.75,0.995910407255228,0,1,1,0.64856864253933,0.681914332515776,high_confidence,33,0.71350597615297,0.47993883888179,0.769839331557058,0.289900492675268,high_uncertain,FALSE,FALSE
ADH1B,0.75,0.993483988848034,0,1,1,0.647719396096812,0.681021422678626,high_confidence,34,0.719488333306237,0.631050924166246,0.767695212649214,0.136644288482968,stable_high,FALSE,FALSE
ANKRD22,0.75,0.993116563257145,0,1,1,0.647590797140001,0.680886211899003,high_confidence,35,0.722322732310701,0.669553570592447,0.770679855244061,0.101126284651615,stable_high,FALSE,FALSE
KRT19,0.75,0.992457973530686,0,1,1,0.64736029073574,0.680643854173865,high_confidence,36,0.720125296881802,0.662537778549462,0.769340206991682,0.10680242844222,stable_high,FALSE,FALSE
AKAP7,0.75,0.991755375734567,0,1,1,0.647114381507098,0.680385301699215,high_confidence,37,0.71922561498916,0.665610083688354,0.769233133333265,0.103623049644911,stable_high,FALSE,FALSE
PLIN1,0.75,0.991611517979545,0,1,1,0.647064031292841,0.680332362764929,high_confidence,38,0.692203753514177,0.468270335536496,0.763071714919332,0.294801379382836,high_uncertain,FALSE,FALSE
KRT7,0.75,0.988512465543943,0,1,1,0.64597936294038,0.679191926969771,high_confidence,39,0.719095631065193,0.669519745842034,0.767062103529582,0.0975423576875474,stable_high,FALSE,FALSE
GCNT3,0.75,0.986211100027787,0,1,1,0.645173885009726,0.67834503597102,high_confidence,40,0.716343384904944,0.664627870792168,0.765576903214404,0.100949032422237,stable_high,FALSE,FALSE
ACADL,0.75,0.983980967493642,0,1,1,0.644393338622774,0.677524358353349,high_confidence,41,0.717058372698076,0.65584276121687,0.764669936439459,0.108827175222589,stable_high,FALSE,FALSE
CNN2,1,0.681488153874181,0,1,1,0.638520853855963,0.671349944008723,high_confidence,42,0.713494843916411,0.489714576494156,0.785584435968575,0.295869859474419,high_uncertain,FALSE,FALSE
APOL1,1,0.935125131825924,0.7,1,0.7,0.902293796139073,0.664079207595969,supported_uncertain,43,0.593335973055693,0.246043346214029,0.656709689819732,0.410666343605703,high_uncertain,FALSE,FALSE
TIMP1,1,0.656639043372351,0,1,1,0.629823665180323,0.662205595636757,high_confidence,44,0.704999257527797,0.658778454811067,0.774895697295672,0.116117242484604,stable_high,TRUE,TRUE
C4BPB,0.75,0.995594702201282,1,1,0.7,0.898458145770449,0.661256207295722,supported_uncertain,45,0.569995301123068,0.24458034259537,0.635458404125947,0.390878061530577,high_uncertain,FALSE,FALSE
PADI1,0.75,0.937196220882295,0,1,1,0.628018677308803,0.660307805612886,high_confidence,46,0.700863986605825,0.484970685237926,0.751336458605066,0.26636577336714,high_uncertain,FALSE,FALSE
SDR16C5,0.75,0.937189598857801,0,1,1,0.62801635960023,0.660305368740995,high_confidence,47,0.701473457407728,0.644048627658853,0.753981708357308,0.109933080698455,stable_high,FALSE,FALSE
MBOAT2,0.75,0.937089602763802,0,1,1,0.627981360967331,0.660268570678574,high_confidence,48,0.702596285203324,0.642400942036764,0.755315133721395,0.11291419168463,stable_high,FALSE,FALSE
SFN,0.75,0.936657733474043,0,1,1,0.627830206715915,0.660109644940109,high_confidence,49,0.6929599764025,0.470014835144218,0.755264069906,0.285249234761782,high_uncertain,FALSE,FALSE
CD36,0.75,0.936470507378617,0,1,1,0.627764677582516,0.660040746673477,high_confidence,50,0.702190689906969,0.644018597938538,0.754405674013877,0.110387076075339,stable_high,FALSE,FALSE
SCEL,0.75,0.936391717207953,0,1,1,0.627737101022784,0.660011752284773,high_confidence,51,0.69967402332164,0.640300443843864,0.760220840484433,0.119920396640569,stable_high,FALSE,FALSE
MUC16,0.75,0.935763154064946,0,1,1,0.627517103922731,0.659780444192155,high_confidence,52,0.701816790221474,0.645242576703581,0.754400869939941,0.10915829323636,stable_high,TRUE,FALSE
LGALS2,0.75,0.935219556941406,0,1,1,0.627326844929492,0.65958040316971,high_confidence,53,0.701299312673164,0.641943131924095,0.756800713073058,0.114857581148963,stable_high,FALSE,FALSE
KRT23,0.75,0.935098349039301,0,1,1,0.627284422163755,0.659535799268005,high_confidence,54,0.697982157493085,0.477657503473191,0.757338672037889,0.279681168564697,high_uncertain,FALSE,FALSE
EPS8L1,0.75,0.934365104884582,0,1,1,0.627027786709604,0.65926596908668,high_confidence,55,0.700806642869917,0.636095446237498,0.756682680275068,0.12058723403757,stable_high,FALSE,FALSE
IGF2BP3,0.75,0.933601760557657,0,1,1,0.62676061619518,0.658985062192542,high_confidence,56,0.67075534761201,0.450787071755652,0.744459241367359,0.293672169611707,high_uncertain,FALSE,FALSE
SPRR1B,0.75,0.933254299617317,0,1,1,0.626639004866061,0.658857198304461,high_confidence,57,0.701307679745529,0.638716338546733,0.750441828277851,0.111725489731117,stable_high,FALSE,FALSE
NQO1,0.75,0.932071724322031,0,1,1,0.626225103512711,0.658422016510916,high_confidence,58,0.686688670330032,0.461193805627094,0.758213662543056,0.297019856915962,high_uncertain,FALSE,FALSE
SERPINB4,0.75,0.932015551198301,0,1,1,0.626205442919405,0.658401345082356,high_confidence,59,0.702079377479181,0.643457480292909,0.753463238914412,0.110005758621503,stable_high,FALSE,FALSE
FHL2,0.75,0.931310889499954,0,1,1,0.625958811324984,0.65814203310201,high_confidence,60,0.697253843553777,0.637640714705461,0.75612231162501,0.118481596919548,stable_high,FALSE,FALSE
ACSS1,0.75,0.928498759799987,0,1,1,0.624974565929996,0.657107183438407,high_confidence,61,0.697586140985197,0.637050523836961,0.753772259813046,0.116721735976085,stable_high,FALSE,FALSE
CRABP2,0.75,0.927921943036178,0,1,1,0.624772680062663,0.656894917754504,high_confidence,62,0.699286605021836,0.638960128984605,0.754301918379703,0.115341789395097,stable_high,FALSE,FALSE
CDCP1,0.5,0.999287535101685,0.3,1,1,0.62475063728559,0.656871741663912,high_confidence,63,0.696753910601521,0.644609211332856,0.746958198990373,0.102348987657517,stable_high,FALSE,FALSE
GSTA2,0.75,0.922546925833739,0,1,1,0.622891424041809,0.654916938309292,high_confidence,64,0.695815238277736,0.637365836970892,0.753645883334776,0.116280046363883,stable_high,FALSE,FALSE
OASL,0.75,0.921091108295989,0,1,1,0.622381887903596,0.65438120473725,high_confidence,65,0.693193731895852,0.626523944150238,0.748569641367261,0.122045697217024,stable_high,FALSE,FALSE
SGSH,0.5,0.992045763037838,0.3,1,1,0.622216017063243,0.654206805767019,high_confidence,66,0.693609898718395,0.49078954787186,0.738853600631162,0.248064052759301,high_uncertain,FALSE,FALSE
SULF2,0.5,0.99038200421617,0.3,1,1,0.62163370147566,0.653594550842596,high_confidence,67,0.693992208281039,0.638390744072571,0.737275176296899,0.0988844322243274,stable_high,FALSE,FALSE
EFNB1,0.5,0.989576780136689,0.3,1,1,0.621351873047841,0.653298232408995,high_confidence,68,0.692463547217317,0.628832951666883,0.740222199571127,0.111389247904243,stable_high,FALSE,FALSE
SLC16A7,0.75,0.911374188255474,0,1,1,0.618980965889416,0.65080542676538,high_confidence,69,0.689350506202121,0.630886521051869,0.740382689031335,0.109496167979466,stable_high,FALSE,FALSE
IGFBP3,1,0.86747578636158,0.7,1,0.7,0.878616525226553,0.646652973066924,supported_uncertain,70,0.587506911327991,0.242604602250495,0.857429199811584,0.61482459756109,high_uncertain,FALSE,FALSE
LAMC3,0.5,0.967956416769642,0.3,1,1,0.613784745869375,0.645342046832767,high_confidence,71,0.680470634840703,0.62382239502543,0.727603412733593,0.103781017708163,stable_high,FALSE,FALSE
C8B,1,0.630485218522392,1,1,0.7,0.870669826482837,0.640804282288697,supported_uncertain,72,0.526873490453848,0.220596887747891,0.588935468025262,0.368338580277371,high_uncertain,FALSE,FALSE
SERPINA1,1,0.629540601323144,1,1,0.7,0.8703392104631,0.640560952205585,supported_uncertain,73,0.52025633061054,0.217588442214737,0.736086887591992,0.518498445377255,high_uncertain,TRUE,TRUE
EDIL3,0.5,0.950920906342044,0.3,1,1,0.607822317219715,0.63907306420529,high_confidence,74,0.670792734778806,0.495478918319602,0.715908741043101,0.220429822723499,high_uncertain,FALSE,FALSE
TRIM29,0.75,0.874790580623827,0,1,1,0.606176703218339,0.637342842144394,high_confidence,75,0.648129009751119,0.441034938215528,0.732829684533126,0.291794746317598,high_uncertain,FALSE,FALSE
GALNT5,0.75,0.874767750601012,0,1,1,0.606168712710354,0.637334440810191,high_confidence,76,0.675601731860752,0.612399380251642,0.73733514807908,0.124935767827438,stable_high,FALSE,FALSE
TSPAN1,0.75,0.874515980152554,0,1,1,0.606080593053394,0.637241790544489,high_confidence,77,0.677992998911099,0.611793880660548,0.740641899834056,0.128848019173508,stable_high,FALSE,FALSE
COL17A1,0.75,0.874501281661013,0,1,1,0.606075448581355,0.637236381573122,high_confidence,78,0.66688333911782,0.45126328504722,0.736154639577327,0.284891354530107,high_uncertain,FALSE,FALSE
CLIC3,0.75,0.874408735058043,0,1,1,0.606043057270315,0.637202324886137,high_confidence,79,0.676543094966017,0.62252733218062,0.73739519222667,0.114867860046049,stable_high,FALSE,FALSE
ANO1,0.75,0.874095601734729,0,1,1,0.605933460607155,0.637087093389419,high_confidence,80,0.677742814772738,0.618505917792385,0.746383338404001,0.127877420611615,stable_high,FALSE,FALSE
KRT16,0.75,0.873445046587626,0,1,1,0.605705766305669,0.636847692349295,high_confidence,81,0.654644916134827,0.444318872719152,0.731257876699805,0.286939003980653,high_uncertain,FALSE,FALSE
SERPINB5,0.75,0.873368727571088,0,1,1,0.605679054649881,0.636819607332949,high_confidence,82,0.68191518257228,0.623951583302352,0.735650705826665,0.111699122524313,stable_high,FALSE,FALSE
AHNAK2,0.75,0.872404223045399,0,1,1,0.60534147806589,0.636464674491849,high_confidence,83,0.678936227039896,0.619401865696232,0.743288682793328,0.123886817097096,stable_high,FALSE,FALSE
S100A6,0.75,0.871861774118671,0,1,1,0.605151620941535,0.636265056000086,high_confidence,84,0.673631086382579,0.468058026082224,0.735688081808085,0.267630055725861,high_uncertain,FALSE,FALSE
S100A16,0.75,0.871057952244695,0,1,1,0.604870283285643,0.635969253571098,high_confidence,85,0.650994056735919,0.445209703074653,0.740475055698648,0.295265352623996,high_uncertain,FALSE,FALSE
PLIN4,0.75,0.870303516448623,0,1,1,0.604606230757018,0.635691624971754,high_confidence,86,0.670724314309188,0.460691803327787,0.736272120712259,0.275580317384472,high_uncertain,FALSE,FALSE
SLC16A10,0.75,0.868092502630714,0,1,1,0.60383237592075,0.634877982946028,high_confidence,87,0.674560338640352,0.617843601756079,0.739379844190046,0.121536242433968,stable_high,FALSE,FALSE
ANXA10,0.75,0.866454283226554,0,1,1,0.603258999129294,0.634275126399503,high_confidence,88,0.67378990421518,0.621023460690185,0.741632762290104,0.120609301599919,stable_high,FALSE,FALSE
PTTG1IP,0.5,0.937228840097706,0.3,1,1,0.603030094034197,0.634034452313687,high_confidence,89,0.672168043269914,0.465662432281548,0.728776051337336,0.263113619055788,high_uncertain,FALSE,FALSE
GPRC5A,0.75,0.863606507309262,0,1,1,0.602262277558242,0.633227159106224,high_confidence,90,0.636764569555375,0.437294000980136,0.728900967215998,0.291606966235862,high_uncertain,FALSE,FALSE
CD58,0.5,0.932530179938922,0.3,1,1,0.601385562978623,0.632305368877472,high_confidence,91,0.670498599429232,0.499551001565076,0.730386585268896,0.23083558370382,high_uncertain,FALSE,FALSE
ITGB8,0.5,0.932234958714902,0.3,1,1,0.601282235550216,0.632196728943698,high_confidence,92,0.56165811535046,0.433420287811563,0.715073243720452,0.281652955908889,high_uncertain,FALSE,FALSE
MST1R,0.5,0.929843767073871,0.3,1,1,0.600445318475855,0.631316782380295,high_confidence,93,0.671821668445596,0.607398896458837,0.720175530178415,0.112776633719578,stable_high,FALSE,FALSE
MET,0.5,0.92631962088091,0.3,1,1,0.599211867308318,0.630019914208704,high_confidence,94,0.673394885768093,0.604383210094726,0.726878669972906,0.12249545987818,stable_high,FALSE,FALSE
ANPEP,1,0.996112391847626,0.4,1,0.7,0.848639337146669,0.624590062525781,supported_uncertain,95,0.275358149997131,0.241330377899251,0.625833528444061,0.384503150544811,high_uncertain,TRUE,TRUE
TMEM131,0.5,0.88987129033029,0.3,1,1,0.586454951615601,0.616607110876893,high_confidence,96,0.639691034483315,0.585263014841977,0.680987731767632,0.095724716925655,stable_high,FALSE,FALSE
TMPRSS4,0.75,0.811072639941219,0,1,1,0.583875423979427,0.61389495868381,high_confidence,97,0.657046510981678,0.608316014212607,0.71774602491605,0.109430010703442,stable_high,FALSE,FALSE
SERPINB3,0.75,0.810823938801264,0,1,1,0.583788378580442,0.613803437908284,high_confidence,98,0.651756595158077,0.600214267536683,0.720652360972395,0.120438093435712,stable_high,FALSE,FALSE
S100P,0.75,0.810792845053586,0,1,1,0.583777495768755,0.613791995564666,high_confidence,99,0.65278543217848,0.473925562701888,0.715218261379066,0.241292698677178,high_uncertain,FALSE,FALSE
GPX2,0.75,0.806274231571937,0,1,1,0.582195981050178,0.612129168405062,high_confidence,100,0.628299492500019,0.426068452431465,0.709508746385946,0.28344029395448,high_uncertain,FALSE,FALSE
