rank,gene,audit_score,audit_class,audit_score_median,score_95ci,confidence_class,anchor_tier,v0.2_tier,pdactrace_call,rna_pattern,prot_pattern,scrna_support_celltypes,serum_support,dominant_evidence_axis,mechanism_class,artifact_flags,note
1,LGALS3BP,1,high_confidence,1,"[1.00, 1.00]",stable_high,none,ARTIFACT,rescued_candidate,Early_Burst_Up,Early_Burst_Up,Ductal,A,RNA+Protein+ductal+serum-detected+secreted,ductal_epithelial,none,""
2,LCN2,0.924,high_confidence,0.837,"[0.78, 0.91]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,B,RNA+Protein+ductal+serum-detected+secreted,ductal_epithelial,none,""
3,GGH,0.888,high_confidence,0.833,"[0.57, 0.92]",stable_high,none,ARTIFACT,rescued_candidate,Early_Burst_Up,Early_Burst_Up,none,B,RNA+Protein+serum-detected+secreted,unclear,none,""
4,SPARC,0.806,high_confidence,0.792,"[0.53, 0.87]",stable_high,none,OTHER,rescued_candidate,Early_Burst_Up,Early_Burst_Up,myCAF,B,RNA+Protein+stromal+serum-detected+secreted,ECM_stromal,none,""
5,VCAN,0.797,high_confidence,0.803,"[0.55, 0.90]",stable_high,none,ARTIFACT,rescued_candidate,Early_Burst_Up,Early_Burst_Up,myCAF,not_detected,RNA+Protein+stromal+secreted,ECM_stromal,single_cohort_RNA_signal;serum_not_detected,""
6,PPIF,0.783,high_confidence,0.85,"[0.79, 0.91]",stable_high,none,ARTIFACT,rescued_candidate,Early_Loss_Down,Early_Loss_Down,Macrophage,not_detected,RNA+Protein,immune_inflammatory,serum_not_detected,""
7,KLK7,0.762,high_confidence,0.761,"[0.53, 0.82]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
8,CD55,0.761,high_confidence,0.76,"[0.52, 0.81]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,B_cell,not_detected,RNA+Protein+secreted,immune_inflammatory,serum_not_detected,""
9,DSG3,0.76,high_confidence,0.762,"[0.70, 0.81]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
10,KLK10,0.739,high_confidence,0.743,"[0.69, 0.80]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
11,CST1,0.739,high_confidence,0.739,"[0.68, 0.80]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,myCAF,not_detected,RNA+Protein+stromal+secreted,ECM_stromal,serum_not_detected,""
12,SLPI,0.739,high_confidence,0.742,"[0.68, 0.80]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
13,PLAU,0.738,high_confidence,0.742,"[0.68, 0.80]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,myCAF,not_detected,RNA+Protein+stromal+secreted,ECM_stromal,serum_not_detected,""
14,ITGB6,0.738,high_confidence,0.738,"[0.52, 0.80]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
15,MFAP2,0.738,high_confidence,0.738,"[0.68, 0.80]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,myCAF,not_detected,RNA+Protein+stromal+secreted,ECM_stromal,serum_not_detected,""
16,MUC4,0.738,high_confidence,0.74,"[0.68, 0.80]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
17,LIPH,0.738,high_confidence,0.741,"[0.68, 0.80]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
18,PNLIP,0.731,high_confidence,0.729,"[0.66, 0.79]",stable_high,none,SILVER,novel_nomination,Early_Loss_Down,Early_Loss_Down,Acinar,not_detected,RNA+Protein+acinar+secreted,acinar_stress,serum_not_detected,""
19,REG1A,0.722,high_confidence,0.71,"[0.47, 0.77]",high_uncertain,none,SILVER,novel_nomination,Early_Loss_Down,Early_Loss_Down,Acinar,not_detected,RNA+Protein+acinar+secreted,acinar_stress,score_bimodal_due_to_I2;serum_not_detected,""
20,MSLN,0.716,high_confidence,0.655,"[0.46, 0.78]",high_uncertain,T2_literature_db,SILVER,confirmed_anchor,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
21,MUC5B,0.715,high_confidence,0.547,"[0.47, 0.77]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
22,THBS2,0.712,high_confidence,0.714,"[0.66, 0.78]",stable_high,T1_validated,SILVER,confirmed_anchor,Early_Burst_Up,Early_Burst_Up,myCAF,not_detected,RNA+Protein+stromal+secreted,ECM_stromal,serum_not_detected,External anchor (Kim 2017 Sci Transl Med); stable_high with tight CI
23,MUC5AC,0.711,high_confidence,0.709,"[0.49, 0.78]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
24,IGFBP7,0.706,high_confidence,0.737,"[0.68, 0.79]",stable_high,none,ARTIFACT,rescued_candidate,Early_Peak,Early_Burst_Up,myCAF,not_detected,RNA+Protein+stromal,ECM_stromal,serum_not_detected,""
25,CEACAM1,0.703,high_confidence,0.672,"[0.45, 0.74]",high_uncertain,T2_literature_db,SILVER,confirmed_anchor,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
26,FN1,0.702,supported_uncertain,0.689,"[0.29, 0.76]",high_uncertain,none,ARTIFACT,rescued_candidate,Early_Burst_Up,Early_Burst_Up,myCAF,A,RNA+Protein+stromal+serum-detected+secreted,ECM_stromal,cohort_divergent;score_bimodal_due_to_I2,""
27,TGFBI,0.702,supported_uncertain,0.693,"[0.29, 0.77]",high_uncertain,none,OTHER,rescued_candidate,Early_Burst_Up,Early_Burst_Up,Macrophage,A,RNA+Protein+serum-detected+secreted,immune_inflammatory,cohort_divergent;score_bimodal_due_to_I2,""
28,SDC1,0.693,high_confidence,0.697,"[0.65, 0.76]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,single_cohort_RNA_signal;serum_not_detected,""
29,VSIG2,0.692,high_confidence,0.695,"[0.64, 0.76]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,single_cohort_RNA_signal;serum_not_detected,""
30,MMP1,0.687,high_confidence,0.684,"[0.64, 0.76]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,single_cohort_RNA_signal;serum_not_detected,""
31,DUOX2,0.686,high_confidence,0.675,"[0.46, 0.75]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,single_cohort_RNA_signal;score_bimodal_due_to_I2;serum_not_detected,""
32,CDA,0.683,high_confidence,0.724,"[0.67, 0.77]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
33,SLC16A3,0.682,high_confidence,0.714,"[0.48, 0.77]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Macrophage,not_detected,RNA+Protein,immune_inflammatory,score_bimodal_due_to_I2;serum_not_detected,""
34,ADH1B,0.681,high_confidence,0.719,"[0.63, 0.77]",stable_high,none,SILVER,novel_nomination,Early_Loss_Down,Early_Loss_Down,iCAF,not_detected,RNA+Protein+stromal,ECM_stromal,serum_not_detected,""
35,ANKRD22,0.681,high_confidence,0.722,"[0.67, 0.77]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
36,KRT19,0.681,high_confidence,0.72,"[0.66, 0.77]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
37,AKAP7,0.68,high_confidence,0.719,"[0.67, 0.77]",stable_high,none,GOLD,novel_nomination,Early_Loss_Down,Early_Loss_Down,Acinar,not_detected,RNA+Protein+acinar,acinar_stress,serum_not_detected,""
38,PLIN1,0.68,high_confidence,0.692,"[0.47, 0.76]",high_uncertain,none,SILVER,novel_nomination,Early_Loss_Down,Early_Loss_Down,iCAF,not_detected,RNA+Protein+stromal,ECM_stromal,score_bimodal_due_to_I2;serum_not_detected,""
39,KRT7,0.679,high_confidence,0.719,"[0.67, 0.77]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
40,GCNT3,0.678,high_confidence,0.716,"[0.66, 0.77]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
41,ACADL,0.678,high_confidence,0.717,"[0.66, 0.76]",stable_high,none,GOLD,novel_nomination,Early_Loss_Down,Early_Loss_Down,Acinar,not_detected,RNA+Protein+acinar,acinar_stress,serum_not_detected,""
42,CNN2,0.671,high_confidence,0.713,"[0.49, 0.79]",high_uncertain,none,OTHER,rescued_candidate,Early_Burst_Up,Early_Burst_Up,myCAF,not_detected,RNA+Protein+stromal,ECM_stromal,single_cohort_RNA_signal;score_bimodal_due_to_I2;serum_not_detected,""
43,APOL1,0.664,supported_uncertain,0.593,"[0.25, 0.66]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,B,RNA+Protein+ductal+serum-detected+secreted,ductal_epithelial,cohort_divergent;score_bimodal_due_to_I2,""
44,TIMP1,0.662,high_confidence,0.705,"[0.66, 0.77]",stable_high,T1_validated,OTHER,confirmed_anchor,Early_Peak,Early_Burst_Up,myCAF,not_detected,RNA+Protein+stromal,ECM_stromal,single_cohort_RNA_signal;serum_not_detected,External anchor (Capello 2017 + Cohen 2018 CancerSEEK)
45,C4BPB,0.661,supported_uncertain,0.57,"[0.24, 0.64]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,none,A,RNA+Protein+serum-detected+secreted,immune_inflammatory,cohort_divergent;score_bimodal_due_to_I2,""
46,PADI1,0.66,high_confidence,0.701,"[0.48, 0.75]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
47,SDR16C5,0.66,high_confidence,0.701,"[0.64, 0.75]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
48,MBOAT2,0.66,high_confidence,0.703,"[0.64, 0.76]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
49,SFN,0.66,high_confidence,0.693,"[0.47, 0.76]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
50,CD36,0.66,high_confidence,0.702,"[0.64, 0.75]",stable_high,none,GOLD,novel_nomination,Early_Loss_Down,Early_Loss_Down,Endothelial,not_detected,RNA+Protein,ECM_stromal,serum_not_detected,""
51,SCEL,0.66,high_confidence,0.7,"[0.64, 0.76]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
52,MUC16,0.66,high_confidence,0.702,"[0.65, 0.75]",stable_high,T1_validated,GOLD,confirmed_anchor,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,External anchor (Cohen 2018) with gene-level mapping caveat (CA125 epitope)
53,LGALS2,0.66,high_confidence,0.701,"[0.64, 0.76]",stable_high,none,GOLD,novel_nomination,Early_Loss_Down,Early_Loss_Down,Acinar,not_detected,RNA+Protein+acinar,acinar_stress,serum_not_detected,""
54,KRT23,0.66,high_confidence,0.698,"[0.48, 0.76]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
55,EPS8L1,0.659,high_confidence,0.701,"[0.64, 0.76]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
56,IGF2BP3,0.659,high_confidence,0.671,"[0.45, 0.74]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
57,SPRR1B,0.659,high_confidence,0.701,"[0.64, 0.75]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
58,NQO1,0.658,high_confidence,0.687,"[0.46, 0.76]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
59,SERPINB4,0.658,high_confidence,0.702,"[0.64, 0.75]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
60,FHL2,0.658,high_confidence,0.697,"[0.64, 0.76]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
61,ACSS1,0.657,high_confidence,0.698,"[0.64, 0.75]",stable_high,none,GOLD,novel_nomination,Early_Loss_Down,Early_Loss_Down,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
62,CRABP2,0.657,high_confidence,0.699,"[0.64, 0.75]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
63,CDCP1,0.657,high_confidence,0.697,"[0.64, 0.75]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,none,not_detected,RNA+Protein+secreted,unclear,serum_not_detected,""
64,GSTA2,0.655,high_confidence,0.696,"[0.64, 0.75]",stable_high,none,GOLD,novel_nomination,Early_Loss_Down,Early_Loss_Down,Acinar,not_detected,RNA+Protein+acinar,acinar_stress,serum_not_detected,""
65,OASL,0.654,high_confidence,0.693,"[0.63, 0.75]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,NK_cell,not_detected,RNA+Protein,immune_inflammatory,serum_not_detected,""
66,SGSH,0.654,high_confidence,0.694,"[0.49, 0.74]",high_uncertain,none,SILVER,novel_nomination,Early_Loss_Down,Early_Loss_Down,none,not_detected,RNA+Protein+secreted,unclear,score_bimodal_due_to_I2;serum_not_detected,""
67,SULF2,0.654,high_confidence,0.694,"[0.64, 0.74]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,none,not_detected,RNA+Protein+secreted,unclear,serum_not_detected,""
68,EFNB1,0.653,high_confidence,0.692,"[0.63, 0.74]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,none,not_detected,RNA+Protein+secreted,unclear,serum_not_detected,""
69,SLC16A7,0.651,high_confidence,0.689,"[0.63, 0.74]",stable_high,none,SILVER,novel_nomination,Early_Loss_Down,Early_Loss_Down,Acinar,not_detected,RNA+Protein+acinar,acinar_stress,serum_not_detected,""
70,IGFBP3,0.647,supported_uncertain,0.588,"[0.24, 0.86]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,myCAF,B,RNA+Protein+stromal+serum-detected+secreted,ECM_stromal,cohort_divergent;score_bimodal_due_to_I2,""
71,LAMC3,0.645,high_confidence,0.68,"[0.62, 0.73]",stable_high,none,SILVER,novel_nomination,Early_Loss_Down,Early_Loss_Down,none,not_detected,RNA+Protein+secreted,ECM_stromal,serum_not_detected,""
72,C8B,0.641,supported_uncertain,0.527,"[0.22, 0.59]",high_uncertain,none,BRONZE,novel_nomination,Early_Burst_Up,Early_Burst_Up,Macrophage,A,RNA+Protein+serum-detected+secreted,immune_inflammatory,cohort_divergent;single_cohort_RNA_signal;score_bimodal_due_to_I2,""
73,SERPINA1,0.641,supported_uncertain,0.52,"[0.22, 0.74]",high_uncertain,T1_validated,BRONZE,confirmed_anchor,Early_Burst_Up,Early_Burst_Up,Macrophage,A,RNA+Protein+serum-detected+secreted,immune_inflammatory,cohort_divergent;single_cohort_RNA_signal;score_bimodal_due_to_I2,External anchor + LTBP1+SERPINA1 panel partner; high_uncertain reflects cohort heterogeneity
74,EDIL3,0.639,high_confidence,0.671,"[0.50, 0.72]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,none,not_detected,RNA+Protein+secreted,unclear,score_bimodal_due_to_I2;serum_not_detected,""
75,TRIM29,0.637,high_confidence,0.648,"[0.44, 0.73]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
76,GALNT5,0.637,high_confidence,0.676,"[0.61, 0.74]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
77,TSPAN1,0.637,high_confidence,0.678,"[0.61, 0.74]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
78,COL17A1,0.637,high_confidence,0.667,"[0.45, 0.74]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
79,CLIC3,0.637,high_confidence,0.677,"[0.62, 0.74]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
80,ANO1,0.637,high_confidence,0.678,"[0.62, 0.75]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
81,KRT16,0.637,high_confidence,0.655,"[0.44, 0.73]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
82,SERPINB5,0.637,high_confidence,0.682,"[0.62, 0.74]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
83,AHNAK2,0.636,high_confidence,0.679,"[0.62, 0.74]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
84,S100A6,0.636,high_confidence,0.674,"[0.47, 0.74]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
85,S100A16,0.636,high_confidence,0.651,"[0.45, 0.74]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
86,PLIN4,0.636,high_confidence,0.671,"[0.46, 0.74]",high_uncertain,none,SILVER,novel_nomination,Early_Loss_Down,Early_Loss_Down,Acinar,not_detected,RNA+Protein+acinar,acinar_stress,score_bimodal_due_to_I2;serum_not_detected,""
87,SLC16A10,0.635,high_confidence,0.675,"[0.62, 0.74]",stable_high,none,SILVER,novel_nomination,Early_Loss_Down,Early_Loss_Down,Macrophage,not_detected,RNA+Protein,immune_inflammatory,serum_not_detected,""
88,ANXA10,0.634,high_confidence,0.674,"[0.62, 0.74]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,serum_not_detected,""
89,PTTG1IP,0.634,high_confidence,0.672,"[0.47, 0.73]",high_uncertain,none,ARTIFACT,rescued_candidate,Early_Burst_Up,Early_Burst_Up,none,not_detected,RNA+Protein+secreted,unclear,score_bimodal_due_to_I2;serum_not_detected,""
90,GPRC5A,0.633,high_confidence,0.637,"[0.44, 0.73]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,score_bimodal_due_to_I2;serum_not_detected,""
91,CD58,0.632,high_confidence,0.67,"[0.50, 0.73]",high_uncertain,none,ARTIFACT,rescued_candidate,Early_Burst_Up,Early_Burst_Up,none,not_detected,RNA+Protein+secreted,unclear,score_bimodal_due_to_I2;serum_not_detected,""
92,ITGB8,0.632,high_confidence,0.562,"[0.43, 0.72]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,none,not_detected,RNA+Protein+secreted,cell_surface_adhesion,score_bimodal_due_to_I2;serum_not_detected,""
93,MST1R,0.631,high_confidence,0.672,"[0.61, 0.72]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,none,not_detected,RNA+Protein+secreted,unclear,serum_not_detected,""
94,MET,0.63,high_confidence,0.673,"[0.60, 0.73]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,none,not_detected,RNA+Protein+secreted,unclear,serum_not_detected,""
95,ANPEP,0.625,supported_uncertain,0.275,"[0.24, 0.63]",high_uncertain,T1_validated,SILVER,confirmed_anchor,Early_Loss_Down,Early_Loss_Down,Macrophage,B,RNA+Protein+serum-detected,immune_inflammatory,cohort_divergent;score_bimodal_due_to_I2,""
96,TMEM131,0.617,high_confidence,0.64,"[0.59, 0.68]",stable_high,none,ARTIFACT,rescued_candidate,Early_Loss_Down,Early_Loss_Down,none,not_detected,RNA+Protein+secreted,unclear,serum_not_detected,""
97,TMPRSS4,0.614,high_confidence,0.657,"[0.61, 0.72]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,single_cohort_RNA_signal;serum_not_detected,""
98,SERPINB3,0.614,high_confidence,0.652,"[0.60, 0.72]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,single_cohort_RNA_signal;serum_not_detected,""
99,S100P,0.614,high_confidence,0.653,"[0.47, 0.72]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,single_cohort_RNA_signal;score_bimodal_due_to_I2;serum_not_detected,""
100,GPX2,0.612,high_confidence,0.628,"[0.43, 0.71]",high_uncertain,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal,ductal_epithelial,single_cohort_RNA_signal;score_bimodal_due_to_I2;serum_not_detected,""
